No,분류,분류,분류,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월
No,분류,분류,분류,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
1,전국,전국,전국,"""307,279""","""306,725""","""306,155""","""305,480""","""305,053""","""304,869""","""304,980""","""305,248""","""305,797""","""306,826""","""308,186""","""310,734""","""320,854""","""322,306""","""324,460""","""325,413""","""325,780""","""327,333""","""330,280""","""332,498""","""334,399""","""335,685""","""337,897""","""341,347""","""344,491""","""348,256""","""351,059""","""353,795""","""356,556""","""361,192""","""411,499""","""415,945""","""419,990""","""423,864""","""426,454""","""427,501""","""427,654""","""427,531""","""427,256""","""427,237""","""426,963""","""426,583""","""425,953""","""424,180""","""421,339""","""416,936""","""409,685""","""399,620""","""394,161""","""388,908""","""385,719""","""384,006""","""383,750""","""384,242""","""385,228""","""386,606""","""388,340""","""389,731""","""390,218""","""389,902""","""392,504""","""391,890""","""391,550""","""391,647""","""391,934""","""392,980""","""395,203""","""397,908""","""399,851""","""400,899""","""401,463""","""401,603"""
2,수도권,수도권,수도권,"""428,615""","""427,603""","""426,638""","""425,539""","""424,902""","""424,724""","""425,175""","""425,888""","""427,081""","""429,114""","""431,589""","""436,148""","""451,990""","""454,301""","""458,047""","""459,737""","""460,325""","""462,442""","""466,938""","""469,794""","""472,033""","""473,460""","""475,749""","""479,017""","""483,105""","""488,843""","""493,065""","""497,292""","""501,404""","""508,708""","""600,358""","""607,849""","""614,755""","""621,039""","""625,192""","""626,986""","""627,130""","""626,828""","""626,350""","""626,399""","""625,854""","""625,325""","""624,369""","""621,669""","""617,175""","""610,095""","""598,532""","""582,248""","""566,452""","""558,706""","""554,192""","""551,932""","""552,065""","""553,372""","""555,503""","""558,173""","""561,364""","""563,887""","""564,774""","""564,292""","""565,881""","""565,083""","""564,820""","""565,341""","""566,138""","""568,612""","""573,495""","""579,205""","""583,238""","""585,498""","""586,869""","""587,434"""
3,지방권,지방권,지방권,"""197,026""","""196,888""","""196,678""","""196,388""","""196,153""","""195,962""","""195,765""","""195,628""","""195,592""","""195,709""","""196,055""","""196,776""","""200,888""","""201,555""","""202,253""","""202,531""","""202,695""","""203,732""","""205,263""","""206,897""","""208,488""","""209,645""","""211,786""","""215,405""","""217,684""","""219,644""","""221,150""","""222,522""","""224,047""","""226,242""","""249,015""","""250,797""","""252,378""","""254,175""","""255,425""","""255,829""","""255,981""","""256,001""","""255,893""","""255,806""","""255,759""","""255,511""","""255,155""","""254,171""","""252,751""","""250,651""","""247,113""","""242,396""","""239,610""","""236,590""","""234,580""","""233,347""","""232,712""","""232,467""","""232,405""","""232,584""","""233,002""","""233,362""","""233,472""","""233,295""","""236,048""","""235,594""","""235,173""","""234,891""","""234,705""","""234,460""","""234,274""","""234,263""","""234,321""","""234,275""","""234,109""","""233,864"""
4,6대광역시,6대광역시,6대광역시,"""247,709""","""247,620""","""247,547""","""247,368""","""247,299""","""247,285""","""247,250""","""247,319""","""247,681""","""248,262""","""249,179""","""250,722""","""259,670""","""260,870""","""263,100""","""264,239""","""264,945""","""266,779""","""268,485""","""270,040""","""272,234""","""274,095""","""277,610""","""283,010""","""286,829""","""290,627""","""293,767""","""296,624""","""299,672""","""304,157""","""337,804""","""341,370""","""344,265""","""347,305""","""349,314""","""350,035""","""350,009""","""349,796""","""349,305""","""348,881""","""348,249""","""347,566""","""346,680""","""344,613""","""341,561""","""337,283""","""330,232""","""321,184""","""313,498""","""308,406""","""304,776""","""302,794""","""301,854""","""301,632""","""301,657""","""302,105""","""302,852""","""303,382""","""303,315""","""302,878""","""306,677""","""306,044""","""305,512""","""305,204""","""305,054""","""304,758""","""304,600""","""304,908""","""305,151""","""305,089""","""304,851""","""304,310"""
5,5대광역시,5대광역시,5대광역시,"""254,148""","""254,074""","""253,949""","""253,712""","""253,616""","""253,555""","""253,510""","""253,653""","""253,951""","""254,564""","""255,582""","""257,254""","""264,742""","""265,805""","""266,690""","""267,049""","""267,340""","""268,875""","""270,621""","""272,432""","""275,082""","""277,251""","""281,416""","""287,879""","""291,938""","""295,534""","""298,162""","""300,284""","""302,713""","""306,329""","""340,891""","""343,635""","""345,805""","""348,114""","""349,662""","""350,138""","""350,049""","""349,790""","""349,308""","""348,816""","""348,320""","""347,708""","""346,899""","""345,122""","""342,357""","""338,565""","""332,328""","""324,442""","""316,998""","""311,599""","""307,603""","""305,123""","""303,791""","""303,200""","""302,790""","""302,969""","""303,566""","""304,009""","""303,966""","""303,581""","""307,207""","""306,457""","""305,780""","""305,356""","""304,979""","""304,315""","""303,761""","""303,598""","""303,584""","""303,335""","""303,018""","""302,550"""
6,9개도,9개도,9개도,"""228,463""","""228,170""","""227,800""","""227,089""","""226,557""","""226,256""","""226,146""","""226,182""","""226,462""","""226,840""","""227,516""","""228,682""","""236,773""","""238,539""","""241,019""","""242,420""","""243,141""","""244,605""","""246,926""","""248,767""","""250,340""","""251,363""","""253,272""","""256,185""","""258,987""","""262,575""","""265,284""","""267,868""","""270,214""","""274,257""","""312,303""","""316,724""","""320,425""","""323,892""","""326,085""","""327,057""","""327,270""","""327,244""","""327,072""","""327,070""","""327,024""","""326,707""","""326,235""","""324,759""","""322,580""","""319,221""","""313,604""","""305,612""","""302,567""","""297,821""","""295,032""","""293,482""","""293,150""","""293,409""","""294,285""","""295,317""","""296,814""","""298,089""","""298,607""","""298,408""","""301,282""","""300,752""","""300,309""","""300,196""","""300,205""","""300,706""","""301,560""","""302,809""","""303,920""","""304,503""","""304,773""","""304,873"""
7,8개도,8개도,8개도,"""156,872""","""156,690""","""156,439""","""156,149""","""155,831""","""155,583""","""155,300""","""154,986""","""154,726""","""154,518""","""154,422""","""154,475""","""156,015""","""156,269""","""156,454""","""156,527""","""156,582""","""157,124""","""158,030""","""158,749""","""159,285""","""159,691""","""160,468""","""162,233""","""163,344""","""164,238""","""165,010""","""165,894""","""166,859""","""168,207""","""178,365""","""179,628""","""180,931""","""182,488""","""183,689""","""184,344""","""184,732""","""184,974""","""185,123""","""185,339""","""185,603""","""185,586""","""185,547""","""185,130""","""184,630""","""183,666""","""181,949""","""179,614""","""178,700""","""177,414""","""176,501""","""175,904""","""175,548""","""175,404""","""175,489""","""175,645""","""175,904""","""176,180""","""176,376""","""176,352""","""178,074""","""177,908""","""177,767""","""177,664""","""177,686""","""177,722""","""177,796""","""177,891""","""177,995""","""178,081""","""178,016""","""177,914"""
8,서울,서울,서울,"""648,286""","""646,174""","""644,226""","""642,954""","""642,329""","""642,302""","""643,380""","""644,713""","""646,418""","""650,238""","""654,481""","""662,952""","""688,336""","""688,898""","""689,215""","""688,161""","""686,807""","""687,922""","""693,996""","""697,028""","""698,888""","""699,982""","""701,083""","""703,270""","""706,492""","""710,849""","""713,486""","""716,584""","""720,354""","""727,396""","""853,858""","""859,959""","""867,269""","""874,121""","""879,357""","""881,835""","""882,277""","""882,062""","""881,860""","""882,567""","""882,164""","""882,106""","""881,453""","""879,290""","""874,705""","""866,671""","""853,748""","""835,729""","""813,924""","""807,198""","""803,092""","""800,979""","""801,763""","""803,971""","""806,909""","""810,916""","""814,889""","""817,985""","""819,234""","""818,750""","""819,156""","""818,495""","""819,032""","""820,689""","""822,798""","""827,884""","""838,618""","""850,142""","""857,621""","""862,042""","""864,909""","""866,276"""
