계정항목별,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4
대출평균 1) (연%),3.7,3.59,3.3,3.2,3.06,2.78,2.66,2.7,2.74,2.74,2.87,3.18,3.49,3.72,4.48,5.49,5.32,5.1,5.13,5.21,4.91,4.75,4.55,4.69
기업대출 (연리%),3.77,3.65,3.42,3.31,3.15,2.78,2.71,2.71,2.71,2.69,2.78,3.07,3.35,3.63,4.41,5.5,5.36,5.2,5.24,5.33,5.07,4.89,4.74,4.7
대기업대출 (연리%),3.55,3.46,3.24,3.12,2.93,2.65,2.49,2.5,2.46,2.46,2.55,2.81,3.09,3.37,4.15,5.27,5.24,5.14,5.17,5.29,5.09,4.99,4.83,4.71
중소기업대출 (연리%),3.92,3.78,3.54,3.45,3.32,2.88,2.84,2.85,2.88,2.83,2.94,3.27,3.56,3.84,4.63,5.73,5.47,5.25,5.3,5.36,5.06,4.82,4.67,4.69
운전자금대출 (연리%),3.81,3.72,3.5,3.37,3.18,2.79,2.74,2.73,2.74,2.73,2.83,3.05,3.34,3.61,4.38,5.46,5.39,5.27,5.33,5.39,5.19,5.06,4.96,4.82
시설자금대출 (연리%),3.56,3.4,3.14,3.11,3.03,2.75,2.61,2.65,2.62,2.57,2.67,3.11,3.4,3.68,4.53,5.72,5.28,5.01,4.98,5.09,4.7,4.43,4.2,4.25
상업어음할인 (연리%),4.89,4.8,4.57,4.42,4.35,3.88,3.72,3.7,3.81,3.66,3.81,4.07,4.43,4.73,5.57,6.42,6.38,6.17,6.15,6.14,6.05,5.95,5.86,5.68
기업일반자금대출 (연리%),3.74,3.6,3.36,3.27,3.11,2.81,2.69,2.7,2.68,2.68,2.78,3.11,3.36,3.63,4.41,5.55,5.33,5.14,5.19,5.31,5.01,4.8,4.64,4.66
가계대출 (연리%),3.54,3.41,3.02,2.98,2.91,2.79,2.59,2.72,2.84,2.91,3.09,3.58,3.94,4.14,4.81,5.52,5.22,4.82,4.84,4.97,4.56,4.41,4.12,4.69
소액대출 (500만원 이하) (연리%),4.54,4.62,4.29,4.58,4.44,4.25,4.03,4.3,4.1,4.39,4.86,5.07,5.06,5.48,6.31,7.43,7.03,6.72,6.79,7.41,7.11,6.97,6.55,6.62
주택담보대출 (연리%),3.08,2.88,2.54,2.47,2.5,2.53,2.43,2.54,2.67,2.72,2.9,3.47,3.86,3.95,4.43,4.73,4.51,4.24,4.31,4.4,3.96,3.85,3.58,4.2
고정형 주택담보대출 3) (연리%),3.05,2.83,2.49,2.37,2.44,2.53,2.46,2.5,2.63,2.76,3,3.5,3.85,4.06,4.48,4.65,4.45,4.21,4.28,4.36,3.92,3.83,3.56,4.19
변동형 주택담보대출 3) (연리%),3.18,3.04,2.64,2.9,2.77,2.54,2.37,2.61,2.73,2.7,2.79,3.41,3.86,3.8,4.3,5.11,5.02,4.51,4.6,4.69,4.39,4.14,4.08,4.24
예?적금담보대출 (연리%),3.25,3.21,3.07,3.04,2.93,2.66,2.52,2.53,2.4,2.29,2.39,2.5,2.69,2.99,3.46,4.11,4.65,4.86,5.09,5.12,4.86,4.82,4.78,4.64
보증대출 (연리%),3.52,3.35,3.09,3.22,3.05,2.81,2.53,2.62,2.67,2.68,2.84,3.21,3.52,3.72,4.43,5.67,5.59,5.11,4.98,5.06,4.78,4.54,4.42,4.65
전세자금대출 (연리%),3.33,3.14,2.86,2.95,2.82,2.54,2.34,2.5,2.58,2.54,2.74,3.28,3.55,3.54,4.06,4.94,4.65,4.11,4.15,4.31,4.02,3.88,3.88,4.34
일반신용대출 2) (연리%),4.56,4.39,3.82,3.89,3.67,3.25,2.89,3.22,3.59,3.7,3.99,4.97,5.36,5.8,6.26,7.68,6.73,6.44,6.55,6.75,6.27,6.06,5.77,6.06
집단대출 2) (연리%),3.11,3.08,2.8,2.94,2.77,2.56,2.44,2.65,2.96,3.04,3.18,3.86,4.26,4.24,4.48,5.17,4.65,4.22,4.24,4.22,3.99,3.83,3.5,4.22
공공및기타부문대출 (연리%),3.58,3.55,3.39,2.9,2.82,2.41,2.5,2.17,2.31,2.23,2.44,2.66,2.82,3.15,3.88,5.16,5.16,5.01,5.09,4.94,4.8,4.45,4.48,4.43
