"남편의 연령별","아내의 연령별",2019,2020,2021,2022,2023,2024
"계","계",239159,213502,192507,191690,193657,222412
"계","15세미만",0,0,0,0,0,0
"계","15세",15,16,12,8,7,7
"계","16세",38,27,25,16,19,11
"계","17세",96,80,43,49,41,37
"계","18세",1123,471,208,326,511,576
"계","19세",1402,921,519,644,803,784
"계","20세",1475,1070,765,905,906,957
"계","21세",2001,1370,1148,1236,1203,1080
"계","22세",2783,2045,1609,1660,1722,1587
"계","23세",4018,3089,2486,2480,2312,2393
"계","24세",5905,4942,3977,3832,3445,3671
"계","25세",9025,7589,6331,5877,5374,5596
"계","26세",13955,11694,9690,9118,8263,9122
"계","27세",17932,15860,13102,11926,11274,12800
"계","28세",19828,19008,16152,14714,14137,16826
"계","29세",20935,20090,18309,17371,16645,19941
"계","30세",19229,18072,16868,17185,17410,20714
"계","31세",16855,15701,14660,15185,16315,20230
"계","32세",14233,13036,12175,12759,13664,17615
"계","33세",11646,10735,10038,10568,11313,14410
"계","34세",9468,8734,8060,8490,9212,11221
"계","35세",8269,6981,6692,6892,7159,8735
"계","36세",7192,6059,5241,5629,5918,6877
"계","37세",6004,5374,4761,4623,4890,5550
"계","38세",4910,4383,4006,3983,4057,4425
"계","39세",4071,3695,3582,3597,3508,3666
"계","40 - 44세",11978,10500,10412,10949,11561,11935
"계","45 - 49세",9048,7504,7021,6745,6594,6364
"계","50 - 54세",6991,6132,6126,6060,6208,5717
"계","55 - 59세",4806,4277,4054,4098,4162,4249
"계","60 - 64세",2317,2311,2453,2604,2753,2722
"계","65 - 69세",879,925,1086,1192,1241,1416
"계","70 - 74세",430,472,536,566,599,705
"계","75세이상",302,339,360,403,430,473
"계","미상",0,0,0,0,1,0
"15세미만","계",0,0,0,0,0,0
"15세미만","15세미만",0,0,0,0,0,0
"15세미만","15세",0,0,0,0,0,0
"15세미만","16세",0,0,0,0,0,0
"15세미만","17세",0,0,0,0,0,0
"15세미만","18세",0,0,0,0,0,0
"15세미만","19세",0,0,0,0,0,0
"15세미만","20세",0,0,0,0,0,0
"15세미만","21세",0,0,0,0,0,0
"15세미만","22세",0,0,0,0,0,0
"15세미만","23세",0,0,0,0,0,0
"15세미만","24세",0,0,0,0,0,0
"15세미만","25세",0,0,0,0,0,0
"15세미만","26세",0,0,0,0,0,0
"15세미만","27세",0,0,0,0,0,0
"15세미만","28세",0,0,0,0,0,0
"15세미만","29세",0,0,0,0,0,0
"15세미만","30세",0,0,0,0,0,0
"15세미만","31세",0,0,0,0,0,0
"15세미만","32세",0,0,0,0,0,0
"15세미만","33세",0,0,0,0,0,0
"15세미만","34세",0,0,0,0,0,0
"15세미만","35세",0,0,0,0,0,0
"15세미만","36세",0,0,0,0,0,0
"15세미만","37세",0,0,0,0,0,0
"15세미만","38세",0,0,0,0,0,0
"15세미만","39세",0,0,0,0,0,0
"15세미만","40 - 44세",0,0,0,0,0,0
"15세미만","45 - 49세",0,0,0,0,0,0
"15세미만","50 - 54세",0,0,0,0,0,0
"15세미만","55 - 59세",0,0,0,0,0,0
"15세미만","60 - 64세",0,0,0,0,0,0
"15세미만","65 - 69세",0,0,0,0,0,0
"15세미만","70 - 74세",0,0,0,0,0,0
"15세미만","75세이상",0,0,0,0,0,0
"15세미만","미상",0,0,0,0,0,0
"15 - 19세","계",382,282,223,209,206,197
"15 - 19세","15세미만",0,0,0,0,0,0
"15 - 19세","15세",5,6,6,4,3,3
"15 - 19세","16세",20,14,8,9,2,4
"15 - 19세","17세",38,18,22,19,12,7
"15 - 19세","18세",77,61,48,50,48,55
"15 - 19세","19세",115,81,65,54,52,52
"15 - 19세","20세",60,39,30,27,35,25
"15 - 19세","21세",21,25,14,19,15,19
"15 - 19세","22세",14,9,8,11,8,10
"15 - 19세","23세",7,8,9,1,3,6
"15 - 19세","24세",7,5,6,6,3,4
"15 - 19세","25세",3,3,2,1,6,1
"15 - 19세","26세",5,3,0,0,8,3
"15 - 19세","27세",2,2,1,2,1,1
"15 - 19세","28세",1,3,1,0,4,2
"15 - 19세","29세",2,1,0,2,0,1
"15 - 19세","30세",0,1,0,2,1,1
"15 - 19세","31세",0,0,0,0,1,1
"15 - 19세","32세",1,0,0,0,0,2
